Kule_10
t;x;y;v_{x};v_{y};v
0.000000000E0;-3.940395855E-3;3.941918083E-1;;;
3.333333333E-2;-3.581782331E-3;3.946390867E-1;9.254441304E-3;7.041217244E-3;1.162856071E-2
6.666666667E-2;-3.323433102E-3;3.946612228E-1;1.195067691E-1;-3.753631450E-2;1.252630942E-1
1.000000000E-1;4.385335610E-3;3.921366657E-1;2.292387815E-1;-1.387572207E-1;2.679626564E-1
1.333333333E-1;1.195915233E-2;3.854107414E-1;2.885537070E-1;-1.578991960E-1;3.289306887E-1
1.666666667E-1;2.362224941E-2;3.816100526E-1;3.944422508E-1;-1.716445344E-1;4.301703562E-1
2.000000000E-1;3.825530238E-2;3.739677725E-1;4.826321941E-1;-2.139207953E-1;5.279166046E-1
2.333333333E-1;5.579772902E-2;3.673486663E-1;5.676549384E-1;-2.386842959E-1;6.157940582E-1
2.666666667E-1;7.609896494E-2;3.580554861E-1;6.571463049E-1;-2.909225358E-1;7.186634734E-1
3.000000000E-1;9.960748268E-2;3.479538306E-1;7.429040220E-1;-3.478313638E-1;8.203005812E-1
3.333333333E-1;1.256258997E-1;3.348667285E-1;8.334571027E-1;-4.108841600E-1;9.292343811E-1
3.666666667E-1;1.551712895E-1;3.205615532E-1;9.263761289E-1;-4.847077228E-1;1.045521070E0
4.000000000E-1;1.873843083E-1;3.025528803E-1;9.947758265E-1;-6.052094224E-1;1.164412895E0
4.333333333E-1;2.214896780E-1;2.802142584E-1;1.075199052E0;-7.040868503E-1;1.285220329E0
4.666666667E-1;2.590642451E-1;2.556137569E-1;1.165506789E0;-8.360226332E-1;1.434343027E0
5.000000000E-1;2.991901306E-1;2.244794162E-1;1.248444809E0;-9.496696778E-1;1.568593936E0
5.333333333E-1;3.422938990E-1;1.923024451E-1;1.390523825E0;-9.688451665E-1;1.694761772E0
5.666666667E-1;3.918917189E-1;1.598897384E-1;1.559169266E0;-1.001949200E0;1.853351289E0
6.000000000E-1;4.462385167E-1;1.255058317E-1;1.744678463E0;-9.090156840E-1;1.967285555E0
6.333333333E-1;5.082036164E-1;9.928869281E-2;1.950119935E0;-6.386213686E-1;2.052024613E0
6.666666667E-1;5.762465124E-1;8.293107384E-2;2.067320613E0;-4.108137475E-1;2.107743451E0
7.000000000E-1;6.460249907E-1;7.190110965E-2;2.116349113E0;-2.036518624E-1;2.126125032E0
7.333333333E-1;7.173364533E-1;6.935428301E-2;2.138907170E0;2.408382912E-4;2.138907183E0
7.666666667E-1;7.886188020E-1;7.191716553E-2;2.145541609E0;7.474681986E-2;2.146843237E0
8.000000000E-1;8.603725606E-1;7.433740434E-2;2.097654655E0;2.458223247E-1;2.112009391E0
8.333333333E-1;9.284624456E-1;8.830532052E-2;1.989576852E0;5.137376221E-1;2.054833909E0
8.666666667E-1;9.930110173E-1;1.085865791E-1;1.880392074E0;6.374159530E-1;1.985490733E0
9.000000000E-1;1.053821917E0;1.307997174E-1;1.765525592E0;6.804035681E-1;1.892096623E0
9.333333333E-1;1.110712723E0;1.539468170E-1;1.646544686E0;6.735129224E-1;1.778968538E0
9.666666667E-1;1.163591563E0;1.757005789E-1;1.568802579E0;6.003465471E-1;1.679749239E0
1.000000000E0;1.215299562E0;1.939699202E-1;1.516509936E0;5.080577500E-1;1.599351451E0
1.033333333E0;1.264692225E0;2.095710955E-1;1.464440046E0;4.474081166E-1;1.531260484E0
1.066666667E0;1.312928898E0;2.237971279E-1;1.413624969E0;4.040772025E-1;1.470242817E0
1.100000000E0;1.358933890E0;2.365095757E-1;1.351604788E0;3.456915458E-1;1.395112235E0
1.133333333E0;1.403035884E0;2.468432310E-1;;;
