Kule
t;x;y;v_{x};v_{y};v
0.000000000E0;-6.654480025E-3;3.943996698E-1;;;
3.333333333E-2;-5.031436117E-3;3.940750610E-1;8.277523934E-2;-1.947652690E-2;8.503572983E-2
6.666666667E-2;-1.136130736E-3;3.931012347E-1;1.655504787E-1;-7.303697589E-2;1.809457400E-1
1.000000000E-1;6.005262462E-3;3.892059293E-1;2.385874546E-1;-1.217282931E-1;2.678465061E-1
1.333333333E-1;1.476969957E-2;3.849860151E-1;3.311009573E-1;-1.363356883E-1;3.580715904E-1
1.666666667E-1;2.807865962E-2;3.801168834E-1;4.284835919E-1;-1.850270056E-1;4.667260238E-1
2.000000000E-1;4.333527236E-2;3.726508814E-1;5.258662264E-1;-2.337183228E-1;5.754646318E-1
2.333333333E-1;6.313640804E-2;3.645356619E-1;9.738263451E-1;-4.333527236E-1;1.065895086E0
2.666666667E-1;1.082570287E-1;3.437606998E-1;1.090685507E0;-5.112588312E-1;1.204566506E0
3.000000000E-1;1.358487751E-1;3.304517398E-1;8.569671837E-1;-4.430909870E-1;9.647395383E-1
3.333333333E-1;1.653881743E-1;3.142213007E-1;9.494806865E-1;-5.258662264E-1;1.085379594E0
3.666666667E-1;1.991474876E-1;2.953939914E-1;1.027386794E0;-6.281179926E-1;1.204182643E0
4.000000000E-1;2.338806272E-1;2.723467679E-1;1.085518486E0;-7.374040548E-1;1.312293841E0
4.333333333E-1;2.715153867E-1;2.462337210E-1;1.197806405E0;-8.569671837E-1;1.472797656E0
4.666666667E-1;3.137343875E-1;2.152156223E-1;1.310094323E0;-9.813994444E-1;1.636915393E0
5.000000000E-1;3.588550082E-1;1.808070914E-1;1.436393859E0;-1.022517662E0;1.763170351E0
5.333333333E-1;4.094939781E-1;1.470477781E-1;1.623335032E0;-9.658182097E-1;1.888920708E0
5.666666667E-1;4.670773436E-1;1.164192108E-1;1.821099023E0;-8.293433488E-1;2.001052733E0
6.000000000E-1;5.309005796E-1;9.175822153E-2;1.993787055E0;-5.757535393E-1;2.075253950E0
6.333333333E-1;5.999964806E-1;7.803564148E-2;2.091992607E0;-3.410325629E-1;2.119607576E0
6.666666667E-1;6.703667534E-1;6.902271734E-2;2.123584218E0;-1.528860916E-1;2.129080573E0
7.000000000E-1;7.415687618E-1;6.784323538E-2;2.132211815E0;-1.890021586E-2;2.132295581E0
7.333333333E-1;8.125142078E-1;6.776270294E-2;2.120388920E0;1.130275388E-1;2.123399255E0
7.666666667E-1;8.829280231E-1;7.537840463E-2;2.063485170E0;3.519854337E-1;2.093290423E0
8.000000000E-1;9.500798858E-1;9.122839852E-2;1.945336071E0;5.783891662E-1;2.029499066E0
8.333333333E-1;1.012617095E0;1.139376824E-1;1.799894447E0;6.912167421E-1;1.928056173E0
8.666666667E-1;1.070072849E0;1.373095147E-1;1.679850445E0;7.157623637E-1;1.825982826E0
9.000000000E-1;1.124607124E0;1.616551733E-1;1.587336943E0;6.914167050E-1;1.731385465E0
9.333333333E-1;1.175895312E0;1.834039617E-1;1.528907362E0;5.940340705E-1;1.640254309E0
9.666666667E-1;1.226534282E0;2.012574447E-1;1.480216045E0;5.112588312E-1;1.566022072E0
1.000000000E0;1.274576381E0;2.174878837E-1;1.416917332E0;4.674366457E-1;1.492029405E0
1.033333333E0;1.320995437E0;2.324198877E-1;1.348749488E0;4.041379332E-1;1.407995970E0
1.066666667E0;1.364493014E0;2.444304126E-1;1.309796434E0;3.311009573E-1;1.350997610E0
1.100000000E0;1.408315199E0;2.544932849E-1;;;
