Kule
t;x;y;v_{x};v_{y};v
0.000000000E0;-5.782996806E-3;3.922249494E-1;;;
3.333333333E-2;-5.933252518E-3;3.923097138E-1;6.551833460E-2;-1.488090445E-2;6.718700384E-2
6.666666667E-2;-1.415107833E-3;3.912328891E-1;2.310815359E-1;-7.178157712E-2;2.419736991E-1
1.000000000E-1;9.472183211E-3;3.875242753E-1;3.260592073E-1;-1.346357471E-1;3.527625137E-1
1.333333333E-1;2.032217265E-2;3.822571726E-1;3.775594515E-1;-1.757575400E-1;4.164635065E-1
1.666666667E-1;3.464281331E-2;3.758071059E-1;4.663442271E-1;-2.020168716E-1;5.082201832E-1
2.000000000E-1;5.141178779E-2;3.687893812E-1;5.621195785E-1;-2.394005237E-1;6.109754752E-1
2.333333333E-1;7.211745187E-2;3.598470710E-1;6.513439929E-1;-3.048993233E-1;7.191749400E-1
2.666666667E-1;9.483472065E-2;3.484627596E-1;7.311377935E-1;-3.504392572E-1;8.107836617E-1
3.000000000E-1;1.208599714E-1;3.364844539E-1;8.217400323E-1;-4.167978550E-1;9.213995511E-1
3.333333333E-1;1.496173895E-1;3.206762359E-1;8.952782945E-1;-5.140932637E-1;1.032383218E0
3.666666667E-1;1.805451911E-1;3.022115696E-1;9.669254656E-1;-5.911245357E-1;1.133301845E0
4.000000000E-1;2.140790872E-1;2.812679336E-1;1.065769504E0;-6.730309681E-1;1.260490111E0
4.333333333E-1;2.515964913E-1;2.573428384E-1;1.162836914E0;-7.829446172E-1;1.401853046E0
4.666666667E-1;2.916015481E-1;2.290716257E-1;1.240201367E0;-9.169075809E-1;1.542342032E0
5.000000000E-1;3.342765825E-1;1.962156664E-1;1.353802103E0;-1.019166286E0;1.694544202E0
5.333333333E-1;3.818550217E-1;1.611272067E-1;1.520364979E0;-1.011428183E0;1.826060415E0
5.666666667E-1;4.356342477E-1;1.287871208E-1;1.712931500E0;-9.168402127E-1;1.942866516E0
6.000000000E-1;4.960504550E-1;1.000045258E-1;1.909785296E0;-6.931112002E-1;2.031670006E0
6.333333333E-1;5.629532675E-1;8.257970750E-2;2.052293931E0;-4.362449655E-1;2.098146813E0
6.666666667E-1;6.328700504E-1;7.092152813E-2;2.117603835E0;-2.485559362E-1;2.132141190E0
7.000000000E-1;7.041268564E-1;6.600931176E-2;2.136630224E0;-2.626520090E-2;2.136791655E0
7.333333333E-1;7.753120653E-1;6.917051473E-2;2.131713922E0;7.686276098E-2;2.133099184E0
7.666666667E-1;8.462411179E-1;7.113349582E-2;2.096655600E0;2.214533021E-1;2.108318352E0
8.000000000E-1;9.150891054E-1;8.393406821E-2;2.005069881E0;4.846358811E-1;2.062808078E0
8.333333333E-1;9.799124433E-1;1.034425546E-1;1.883944731E0;6.507227081E-1;1.993160253E0
8.666666667E-1;1.040685421E0;1.273155821E-1;1.751472897E0;7.589044849E-1;1.908819878E0
9.000000000E-1;1.096677303E0;1.540361869E-1;1.646755300E0;7.481144263E-1;1.808722812E0
9.333333333E-1;1.150469107E0;1.771898772E-1;1.580866929E0;6.618451109E-1;1.713820060E0
9.666666667E-1;1.202068432E0;1.981591943E-1;1.527299032E0;5.697053553E-1;1.630094024E0
1.000000000E0;1.252289043E0;2.151702342E-1;1.483964044E0;4.881431403E-1;1.562188532E0
1.033333333E0;1.300999368E0;2.307020703E-1;1.434499942E0;4.272206852E-1;1.496765713E0
1.066666667E0;1.347922372E0;2.436516132E-1;1.378104678E0;3.934688571E-1;1.433174883E0
1.100000000E0;1.392873013E0;2.569333274E-1;;;
