Kule_2
t;x;y;v_{x};v_{y};v
0.000000000E0;-4.489449710E-3;3.969149368E-1;;;
3.333333333E-2;-4.316614513E-3;3.979725502E-1;1.868069861E-1;-8.008902526E-2;2.032513272E-1
6.666666667E-2;7.964349364E-3;3.915756684E-1;3.009316659E-1;-1.343418067E-1;3.295566546E-1
1.000000000E-1;1.574549655E-2;3.890164297E-1;2.661434296E-1;-1.107741062E-1;2.882763045E-1
1.333333333E-1;2.570724467E-2;3.841907280E-1;3.549749398E-1;-1.687670873E-1;3.930515712E-1
1.666666667E-1;3.941049253E-2;3.777652906E-1;3.515469712E-1;-2.490122727E-1;4.308043465E-1
2.000000000E-1;4.914370942E-2;3.675899098E-1;5.206264291E-1;-2.894021282E-1;5.956554965E-1
2.333333333E-1;7.411892113E-2;3.584718153E-1;7.288614425E-1;-2.469191556E-1;7.695505648E-1
2.666666667E-1;9.773447225E-2;3.511286328E-1;7.408272814E-1;-2.960548370E-1;7.977929101E-1
3.000000000E-1;1.235074066E-1;3.387348262E-1;8.150290333E-1;-3.972991158E-1;9.067077327E-1
3.333333333E-1;1.520697411E-1;3.246420251E-1;8.918120489E-1;-4.646623310E-1;1.005604203E0
3.666666667E-1;1.829615432E-1;3.077573375E-1;9.438100445E-1;-5.844900255E-1;1.110137825E0
4.000000000E-1;2.149904108E-1;2.856760234E-1;1.031732125E0;-6.870972300E-1;1.239586133E0
4.333333333E-1;2.517436848E-1;2.619508555E-1;1.153623265E0;-7.981729175E-1;1.402828087E0
4.666666667E-1;2.918986284E-1;2.324644956E-1;1.232824762E0;-9.471895527E-1;1.554678405E0
5.000000000E-1;3.339320023E-1;1.988048853E-1;1.334662034E0;-1.031568075E0;1.686847782E0
5.333333333E-1;3.808760974E-1;1.636932906E-1;1.551344651E0;-9.840842184E-1;1.837142340E0
5.666666667E-1;4.373549790E-1;1.331992707E-1;1.742007546E0;-8.941795418E-1;1.958097889E0
6.000000000E-1;4.970099338E-1;1.040813211E-1;1.904516296E0;-7.157764001E-1;2.034580590E0
6.333333333E-1;5.643227321E-1;8.548084406E-2;2.061457838E0;-4.506800410E-1;2.110147132E0
6.666666667E-1;6.344404564E-1;7.403598506E-2;2.123101218E0;-2.293851395E-1;2.135456936E0
7.000000000E-1;7.058628133E-1;7.018850142E-2;2.138881230E0;-5.534723285E-2;2.139597212E0
7.333333333E-1;7.770325383E-1;7.034616954E-2;2.120328896E0;8.063753646E-2;2.121861692E0
7.666666667E-1;8.472180731E-1;7.556433719E-2;2.083081827E0;2.449958246E-1;2.097439594E0
8.000000000E-1;9.159046601E-1;8.667922451E-2;2.015140227E0;4.804667696E-1;2.071627006E0
8.333333333E-1;9.815607549E-1;1.075954552E-1;1.881251082E0;6.837661449E-1;2.001659755E0
8.666666667E-1;1.041321399E0;1.322636342E-1;1.751358010E0;7.439593666E-1;1.902821699E0
9.000000000E-1;1.098317956E0;1.571927463E-1;1.659502350E0;7.335435462E-1;1.814396369E0
9.333333333E-1;1.151954889E0;1.811665373E-1;1.593458356E0;6.636714153E-1;1.726142891E0
9.666666667E-1;1.204548513E0;2.014375073E-1;1.543137300E0;5.691506337E-1;1.644750793E0
1.000000000E0;1.254830709E0;2.191099128E-1;1.483711094E0;4.992567226E-1;1.565457085E0
1.033333333E0;1.303462586E0;2.347212888E-1;1.431983476E0;4.297714614E-1;1.495085344E0
1.066666667E0;1.350296274E0;2.477613436E-1;1.353142886E0;3.736117423E-1;1.403773986E0
1.100000000E0;1.393672111E0;2.596287383E-1;;;
