Kule
t;x;y;v_{x};v_{y};v
0.000000000E0;-5.740988430E-3;3.953629864E-1;;;
3.333333333E-2;-5.769051132E-3;3.954728684E-1;2.024199473E-2;-2.563202327E-3;2.040363587E-2
6.666666667E-2;-4.391522115E-3;3.951921062E-1;9.633525468E-2;-3.667814633E-2;1.030813645E-1
1.000000000E-1;6.532991796E-4;3.930276587E-1;2.334464527E-1;-1.014383758E-1;2.545328867E-1
1.333333333E-1;1.117157473E-2;3.884295478E-1;3.299554207E-1;-1.474718733E-1;3.614118607E-1
1.666666667E-1;2.265032723E-2;3.831962005E-1;3.712239119E-1;-1.598289898E-1;4.041688988E-1
2.000000000E-1;3.591983553E-2;3.777742819E-1;4.338734035E-1;-2.105705927E-1;4.822718163E-1
2.333333333E-1;5.157522079E-2;3.691581609E-1;5.401937571E-1;-3.250154289E-1;6.304318553E-1
2.666666667E-1;7.193275267E-2;3.561065866E-1;6.503739011E-1;-3.394967889E-1;7.336513347E-1
3.000000000E-1;9.493348086E-2;3.465250417E-1;7.335140904E-1;-3.205005918E-1;8.004770766E-1
3.333333333E-1;1.208336920E-1;3.347398805E-1;8.290986900E-1;-3.675675147E-1;9.069236548E-1
3.666666667E-1;1.502067269E-1;3.220205407E-1;9.090775876E-1;-4.722503378E-1;1.024422980E0
4.000000000E-1;1.814388645E-1;3.032565246E-1;9.746617287E-1;-5.873119113E-1;1.137937066E0
4.333333333E-1;2.151841754E-1;2.828664133E-1;1.064118725E0;-6.708004223E-1;1.257903759E0
4.666666667E-1;2.523801129E-1;2.585364965E-1;1.156831206E0;-7.849620354E-1;1.398007094E0
5.000000000E-1;2.923062558E-1;2.305356109E-1;1.244845218E0;-9.267393865E-1;1.551929608E0
5.333333333E-1;3.353697941E-1;1.967538707E-1;1.366624105E0;-1.036990894E0;1.715520783E0
5.666666667E-1;3.834145295E-1;1.614028847E-1;1.526677851E0;-1.007710876E0;1.829269382E0
6.000000000E-1;4.371483175E-1;1.295731457E-1;1.714612923E0;-8.764245854E-1;1.925621336E0
6.333333333E-1;4.977220577E-1;1.029745790E-1;1.896681974E0;-6.952139050E-1;2.020080415E0
6.666666667E-1;5.635937824E-1;8.322555199E-2;2.034082443E0;-4.627053118E-1;2.086045922E0
7.000000000E-1;6.333275539E-1;7.212755819E-2;2.108589790E0;-2.251769972E-1;2.120579068E0
7.333333333E-1;7.041664351E-1;6.821375217E-2;2.127202734E0;-4.152292370E-2;2.127607959E0
7.666666667E-1;7.751410695E-1;6.935936328E-2;2.122982512E0;6.087936657E-2;2.123855231E0
8.000000000E-1;8.456986025E-1;7.227237661E-2;2.083614579E0;2.198732236E-1;2.095183512E0
8.333333333E-1;9.140487081E-1;8.401757818E-2;1.996474104E0;4.904468237E-1;2.055832419E0
8.666666667E-1;9.787968761E-1;1.049688315E-1;1.878390678E0;6.521659518E-1;1.988384261E0
9.000000000E-1;1.039274753E0;1.274953083E-1;1.744103869E0;7.462884774E-1;1.897062149E0
9.333333333E-1;1.095070467E0;1.547213967E-1;1.673414364E0;6.502623211E-1;1.795315215E0
9.666666667E-1;1.150835711E0;1.708461297E-1;1.610126414E0;5.340398551E-1;1.696380157E0
1.000000000E0;1.202412228E0;1.903240537E-1;1.526125857E0;5.216716024E-1;1.612824043E0
1.033333333E0;1.252577435E0;2.056242365E-1;1.474002791E0;4.441765040E-1;1.539472960E0
1.066666667E0;1.300679081E0;2.199358206E-1;1.422940770E0;4.092570937E-1;1.480625477E0
1.100000000E0;1.347440153E0;2.329080428E-1;1.357707289E0;3.504277152E-1;1.402201364E0
1.133333333E0;1.391192900E0;2.432976683E-1;1.297929567E0;3.019255652E-1;1.332584034E0
1.166666667E0;1.433968791E0;2.530364138E-1;;;
