Kule
t;x;y;v_{x};v_{y};v
0,000000000E0;-6,044851443E-3;3,952901069E-1;;;
3,333333333E-2;-5,799361521E-3;3,952991751E-1;5,461290355E-2;-7,949269649E-3;5,518840569E-2
6,666666667E-2;-2,403991206E-3;3,947601556E-1;1,630425061E-1;-6,367532845E-2;1,750354428E-1
1,000000000E-1;5,070138884E-3;3,910541532E-1;2,774037877E-1;-1,617479286E-1;3,211156393E-1
1,333333333E-1;1,608959464E-2;3,839769603E-1;3,484903316E-1;-2,190882359E-1;4,116371780E-1
1,666666667E-1;2,830282766E-2;3,764482708E-1;4,179469226E-1;-2,148174185E-1;4,699214332E-1
2,000000000E-1;4,395272281E-2;3,696557991E-1;5,082790782E-1;-2,267187123E-1;5,565509822E-1
2,333333333E-1;6,218809954E-2;3,613336900E-1;6,050291420E-1;-2,534139253E-1;6,559564621E-1
2,666666667E-1;8,428799894E-2;3,527615374E-1;6,999382735E-1;-3,048816636E-1;7,634568852E-1
3,000000000E-1;1,088506511E-1;3,410082457E-1;7,798868165E-1;-3,851925237E-1;8,698256877E-1
3,333333333E-1;1,362804534E-1;3,270820358E-1;8,790942202E-1;-4,354195921E-1;9,810182818E-1
3,666666667E-1;1,674569325E-1;3,119802729E-1;9,719850688E-1;-4,845280648E-1;1,086058203E0
4,000000000E-1;2,010794580E-1;2,947801648E-1;1,029425911E0;-6,413117336E-1;1,212847248E0
4,333333333E-1;2,360853265E-1;2,692261573E-1;1,103104973E0;-7,993101403E-1;1,362254485E0
4,666666667E-1;2,746197895E-1;2,414928221E-1;1,204885084E0;-8,861024189E-1;1,495635505E0
5,000000000E-1;3,164109988E-1;2,101526628E-1;1,318691938E0;-9,722654905E-1;1,638367667E0
5,333333333E-1;3,625325854E-1;1,766751228E-1;1,456929506E0;-1,023829779E0;1,780693966E0
5,666666667E-1;4,135396326E-1;1,418973442E-1;1,650478746E0;-9,612576268E-1;1,909999036E0
6,000000000E-1;4,725645018E-1;1,125912810E-1;1,850329708E0;-8,020533599E-1;2,016682826E0
6,333333333E-1;5,368949465E-1;8,842712017E-2;1,995421947E0;-5,683403938E-1;2,074781807E0
6,666666667E-1;6,055926316E-1;7,470192140E-2;2,106281183E0;-2,968894805E-1;2,127102204E0
7,000000000E-1;6,773136920E-1;6,863448814E-2;2,139147614E0;-1,048566522E-1;2,141716001E0
7,333333333E-1;7,482024725E-1;6,771147791E-2;2,128558322E0;6,213738441E-3;2,128567391E0
7,666666667E-1;8,192175801E-1;6,904873737E-2;2,111915300E0;1,635476638E-1;2,118238436E0
8,000000000E-1;8,889968258E-1;7,861465550E-2;2,056399050E0;3,884492261E-1;2,092766077E0
8,333333333E-1;9,563108501E-1;9,494535244E-2;1,941232308E0;5,855710810E-1;2,027628261E0
8,666666667E-1;1,018412313E0;1,176527276E-1;1,805258588E0;7,271326721E-1;1,946196417E0
9,000000000E-1;1,076661423E0;1,434208639E-1;1,692614246E0;7,802504379E-1;1,863795518E0
9,333333333E-1;1,131253263E0;1,696694234E-1;1,577683390E0;7,313880608E-1;1,738969055E0
9,666666667E-1;1,181840315E0;1,921800680E-1;1,514565990E0;5,953121289E-1;1,627361874E0
1,000000000E0;1,232224329E0;2,093568987E-1;1,481833749E0;4,963950464E-1;1,562766553E0
1,033333333E0;1,280629232E0;2,252730711E-1;1,423007194E0;4,538988630E-1;1,493644419E0
1,066666667E0;1,327091475E0;2,396168229E-1;1,371730089E0;4,112408538E-1;1,432048350E0
1,100000000E0;1,372077904E0;2,526891280E-1;1,313087987E0;3,753166503E-1;1,365672966E0
1,133333333E0;1,414630674E0;2,646379329E-1;;;
