Kule
t;x;y;v_{x};v_{y};v
0.000000000E0;-6.443139039E-3;3.932421627E-1;;;
3.336666667E-2;-6.421732472E-3;3.934033274E-1;5.489670021E-3;2.783564513E-3;6.155055511E-3
6.673333333E-2;-6.076795060E-3;3.934279193E-1;1.761896710E-1;-3.817831029E-2;1.802786275E-1
1.001000000E-1;5.335991573E-3;3.908555615E-1;3.004508772E-1;-1.353282830E-1;3.295215832E-1
1.334666667E-1;1.397329348E-2;3.843970119E-1;2.991219866E-1;-1.663907456E-1;3.422862006E-1
1.668333333E-1;2.529739881E-2;3.797517524E-1;4.260116062E-1;-1.906099729E-1;4.667098139E-1
2.002000000E-1;4.240246800E-2;3.716769730E-1;5.300440104E-1;-2.399596725E-1;5.818309869E-1
2.335666667E-1;6.066900244E-2;3.637384436E-1;5.870615548E-1;-2.710186116E-1;6.466006163E-1
2.669333333E-1;8.157904242E-2;3.535909977E-1;6.832066620E-1;-2.894580182E-1;7.419954766E-1
3.003000000E-1;1.062616604E-1;3.444219452E-1;7.771975586E-1;-3.573255859E-1;8.554049447E-1
3.336666667E-1;1.334440262E-1;3.297454702E-1;8.592942807E-1;-4.698330160E-1;9.793516855E-1
3.670333333E-1;1.636052320E-1;3.130684219E-1;9.529771682E-1;-4.998335950E-1;1.076103669E0
4.004000000E-1;1.970393692E-1;2.963899083E-1;1.029135511E0;-6.093212253E-1;1.195990073E0
4.337666667E-1;2.322828751E-1;2.724063855E-1;1.093897920E0;-7.665706460E-1;1.335755672E0
4.671333333E-1;2.700388237E-1;2.452340939E-1;1.184361182E0;-8.595467653E-1;1.463397434E0
5.005000000E-1;3.113192446E-1;2.150459647E-1;1.296048625E0;-9.550007721E-1;1.609897050E0
5.338666667E-1;3.565284686E-1;1.815037090E-1;1.449509047E0;-9.952679633E-1;1.758304523E0
5.672333333E-1;4.080498150E-1;1.486284159E-1;1.595765228E0;-9.976553490E-1;1.881962502E0
6.006000000E-1;4.630192015E-1;1.149268421E-1;1.787849360E0;-8.486310364E-1;1.979035111E0
6.339666667E-1;5.273589623E-1;9.199643810E-2;1.995562685E0;-5.606397180E-1;2.072821102E0
6.673333333E-1;5.961897513E-1;7.751348488E-2;2.081578533E0;-3.585000745E-1;2.112224300E0
7.007000000E-1;6.662696364E-1;6.807253314E-2;2.119434955E0;-1.674039096E-1;2.126035889E0
7.340666667E-1;7.376267107E-1;6.634206398E-2;2.144384844E0;-1.337879608E-2;2.144426579E0
7.674333333E-1;8.093715851E-1;6.717972148E-2;2.125341790E0;1.302288696E-1;2.129327894E0
8.008000000E-1;8.794578528E-1;7.503267055E-2;2.059709705E0;3.669689959E-1;2.092144908E0
8.341666667E-1;9.468228794E-1;9.166878580E-2;1.955212186E0;5.833836853E-1;2.040389966E0
8.675333333E-1;1.009935679E0;1.139638085E-1;1.817776320E0;7.227939108E-1;1.956205967E0
9.009000000E-1;1.068129152E0;1.399032328E-1;1.697269850E0;7.737475086E-1;1.865317708E0
9.342666667E-1;1.123200154E0;1.655985589E-1;1.612454089E0;7.264575257E-1;1.768544239E0
9.676333333E-1;1.175733589E0;1.883821650E-1;1.565466769E0;6.135116003E-1;1.681393080E0
1.001000000E0;1.227668970E0;2.065402330E-1;1.518274357E0;5.166459100E-1;1.603770563E0
1.034366667E0;1.277053097E0;2.228596687E-1;1.458535585E0;4.633991202E-1;1.530380605E0
1.067733333E0;1.325001911E0;2.374644010E-1;1.406197202E0;4.134078848E-1;1.465706877E0
1.101100000E0;1.370893324E0;2.504477549E-1;;;
